repayment_period,date_disbursed,date_repaid,loan_id,borrower_id,loan_amount
2,2020-02-07,2020-04-07,1,1,9600.938999999998
1,2020-03-16,2020-04-16,2,2,12075.0505
3,2020-03-28,2020-06-28,3,3,9411.728
1,2020-01-29,2020-02-29,4,4,7828.6077
1,2020-02-02,2020-03-02,5,5,12098.246099999998
1,2020-02-03,2020-03-03,6,6,9815.9412
1,2020-02-06,2020-03-06,7,7,15754.056
1,2020-01-10,2020-02-10,8,8,14455.638
2,2020-02-03,2020-04-03,9,9,14019.020999999997
3,2020-03-29,2020-06-29,10,10,10325.482199999999
2,2020-02-15,2020-04-15,11,11,10832.819
1,2020-03-23,2020-04-23,12,12,7484.134499999999
3,2020-03-25,2020-06-25,13,13,9206.449
3,2020-01-23,2020-04-23,14,14,11427.335000000001
2,2020-02-20,2020-04-20,15,15,12448.775699999998
1,2020-03-18,2020-04-18,16,16,11438.94825
2,2020-02-13,2020-04-13,17,17,11839.026
3,2020-02-21,2020-05-21,18,18,13086.58775
2,2020-03-20,2020-05-20,19,19,12429.8031
1,2020-02-04,2020-03-04,20,20,11457.48825
1,2020-02-08,2020-03-08,21,21,9902.660333333333
1,2020-01-14,2020-02-14,22,22,11939.744549999998
1,2020-02-21,2020-03-21,23,23,8941.9965
1,2020-01-04,2020-02-04,24,24,13928.628200000001
2,2020-01-25,2020-03-25,25,25,10906.9275
1,2020-03-18,2020-04-18,26,26,14102.090499999998
1,2020-03-18,2020-04-18,27,27,8690.1615
2,2020-02-28,2020-04-28,28,28,12655.095
1,2020-01-17,2020-02-17,29,29,10852.10575
1,2020-02-05,2020-03-05,30,30,9074.5575
2,2020-03-31,2020-05-31,31,31,9578.4438
1,2020-03-29,2020-04-29,32,32,9261.671714285714
1,2020-01-10,2020-02-10,33,33,9102.29025
1,2020-01-29,2020-02-29,34,34,11187.530399999998
1,2020-03-11,2020-04-11,35,35,6926.0805
1,2020-03-18,2020-04-18,36,36,5939.5362000000005
2,2020-02-21,2020-04-21,37,37,6915.111
1,2020-01-22,2020-02-22,38,38,5695.973571428572
1,2020-01-05,2020-02-05,39,39,10872.577
1,2020-03-21,2020-04-21,40,40,11783.509
1,2020-02-03,2020-03-03,41,41,15663.148200000001
1,2020-02-11,2020-03-11,42,42,8138.030000000001
1,2020-03-14,2020-04-14,43,43,10587.369999999999
1,2020-03-20,2020-04-20,44,44,8905.7405
2,2020-01-08,2020-03-08,45,45,10455.2622
1,2020-01-10,2020-02-10,46,46,13784.512071428571
2,2020-02-11,2020-04-11,47,47,12363.321750000001
2,2020-03-28,2020-05-28,48,48,6427.553142857143
1,2020-02-25,2020-03-25,49,49,11660.96475
1,2020-03-02,2020-04-02,50,50,9423.083749999998
1,2020-03-07,2020-04-07,51,51,10360.22925
3,2020-02-09,2020-05-09,52,52,8971.557499999999
2,2020-03-13,2020-05-13,53,53,8505.9975
1,2020-01-23,2020-02-23,54,54,8462.29975
1,2020-01-27,2020-02-27,55,55,11090.499249999999
1,2020-02-16,2020-03-16,56,56,9808.35525
1,2020-01-22,2020-02-22,57,57,10461.246500000001
1,2020-02-26,2020-03-26,58,58,7224.03375
1,2020-02-16,2020-03-16,59,59,14442.73725
2,2020-02-11,2020-04-11,60,60,9181.294928571428
3,2020-02-01,2020-05-01,61,61,8297.474
3,2020-01-29,2020-04-29,62,62,8297.577
1,2020-02-19,2020-03-19,63,63,4956.8234999999995
2,2020-02-24,2020-04-24,64,64,8968.622000000001
3,2020-02-23,2020-05-23,65,65,10854.21725
1,2020-01-19,2020-02-19,66,66,4841.9913750000005
3,2020-01-11,2020-04-11,67,67,9087.844500000001
2,2020-01-25,2020-03-25,68,68,9648.6795
2,2020-01-05,2020-03-05,69,69,11794.7875
1,2020-03-02,2020-04-02,70,70,10225.317642857142
1,2020-03-28,2020-04-28,71,71,10417.018299999998
1,2020-01-03,2020-02-03,72,72,11985.698
1,2020-03-12,2020-04-12,73,73,15097.430999999999
3,2020-03-29,2020-06-29,74,74,8542.8612
2,2020-01-19,2020-03-19,75,75,7392.3924
1,2020-03-01,2020-04-01,76,76,13652.31525
1,2020-02-20,2020-03-20,77,77,11122.815499999999
3,2020-03-08,2020-06-08,78,78,9085.681499999999
1,2020-03-25,2020-04-25,79,79,13137.3925
2,2020-03-13,2020-05-13,80,80,11100.6602
2,2020-01-14,2020-03-14,81,81,10642.9797
3,2020-03-16,2020-06-16,82,82,5034.4134
1,2020-01-29,2020-02-29,83,83,8367.822999999999
3,2020-01-07,2020-04-07,84,84,11392.933
1,2020-02-26,2020-03-26,85,85,11019.9288
1,2020-02-17,2020-03-17,86,86,12447.7251
2,2020-01-09,2020-03-09,87,87,10841.6976
1,2020-02-16,2020-03-16,88,88,8547.22325
1,2020-01-04,2020-02-04,89,89,7764.084085714287
1,2020-01-19,2020-02-19,90,90,12190.358999999999
1,2020-01-16,2020-02-16,91,91,11119.055999999999
1,2020-01-25,2020-02-25,92,92,11340.825299999999
1,2020-03-22,2020-04-22,93,93,11897.900800000001
1,2020-01-07,2020-02-07,94,94,9739.8654
1,2020-03-29,2020-04-29,95,95,7341.8090999999995
1,2020-01-12,2020-02-12,96,96,13803.287499999999
1,2020-03-03,2020-04-03,97,97,10198.00425
1,2020-02-27,2020-03-27,98,98,8586.492
2,2020-01-26,2020-03-26,99,99,9434.588849999998
1,2020-02-02,2020-03-02,100,100,11023.06
1,2020-01-08,2020-02-08,101,101,14956.295250000001
1,2020-02-21,2020-03-21,102,102,3690.078
3,2020-02-29,2020-05-29,103,103,15568.810499999998
1,2020-01-09,2020-02-09,104,104,9603.4522
2,2020-03-14,2020-05-14,105,105,7705.635999999999
3,2020-01-26,2020-04-26,106,106,7695.954
1,2020-02-09,2020-03-09,107,107,7020.067999999999
2,2020-02-04,2020-04-04,108,108,8135.043
3,2020-03-21,2020-06-21,109,109,8608.76575
1,2020-03-22,2020-04-22,110,110,10642.9797
1,2020-02-16,2020-03-16,111,111,10293.304999999998
1,2020-03-02,2020-04-02,112,112,12049.043
1,2020-02-22,2020-03-22,113,113,10786.674999999997
1,2020-01-19,2020-02-19,114,114,8462.170999999998
1,2020-01-21,2020-02-21,115,115,5183.34625
1,2020-03-08,2020-04-08,116,116,13083.266
1,2020-02-09,2020-03-09,117,117,11830.631500000001
1,2020-03-05,2020-04-05,118,118,3084.040714285715
3,2020-01-14,2020-04-14,119,119,11088.64525
1,2020-02-22,2020-03-22,120,120,11680.3545
3,2020-03-21,2020-06-21,121,121,8257.7675
1,2020-02-06,2020-03-06,122,122,5717.7875
2,2020-01-26,2020-03-26,123,123,11081.4404
1,2020-01-24,2020-02-24,124,124,10406.296
3,2020-03-29,2020-06-29,125,125,11763.475499999999
2,2020-04-01,2020-06-01,126,126,10243.568874999999
1,2020-03-07,2020-04-07,127,127,9397.168950000001
1,2020-02-02,2020-03-02,128,128,9255.168
1,2020-02-02,2020-03-02,129,129,10843.943000000001
2,2020-03-26,2020-05-26,130,130,11571.0715
1,2020-01-03,2020-02-03,131,131,13624.520700000001
2,2020-02-08,2020-04-08,132,132,10634.65215
3,2020-03-30,2020-06-30,133,133,8732.061899999999
1,2020-02-07,2020-03-07,134,134,9098.2578
2,2020-02-27,2020-04-27,135,135,9935.0195
1,2020-03-18,2020-04-18,136,136,5249.678249999999
1,2020-02-15,2020-03-15,137,137,11354.307999999999
1,2020-03-05,2020-04-05,138,138,13342.6715
1,2020-03-04,2020-04-04,139,139,8585.79675
1,2020-02-04,2020-03-04,140,140,10054.4892
1,2020-02-11,2020-03-11,141,141,10830.023285714286
1,2020-03-06,2020-04-06,142,142,11055.247500000001
2,2020-01-31,2020-03-31,143,143,13517.514000000001
1,2020-02-07,2020-03-07,144,144,8210.1815
1,2020-01-02,2020-02-02,145,145,6149.202999999999
3,2020-03-01,2020-06-01,146,146,1482.5819999999999
1,2020-01-16,2020-02-16,147,147,9718.771
1,2020-02-27,2020-03-27,148,148,9347.382428571427
1,2020-03-23,2020-04-23,149,149,11380.346399999999
1,2020-03-12,2020-04-12,150,150,9251.2952
2,2020-02-12,2020-04-12,151,151,6163.843714285714
1,2020-01-02,2020-02-02,152,152,12052.915799999999
1,2020-01-02,2020-02-02,153,153,10150.676485714286
1,2020-03-01,2020-04-01,154,154,11253.285600000001
1,2020-03-11,2020-04-11,155,155,8184.483
3,2020-01-06,2020-04-06,156,156,12736.887299999999
2,2020-02-20,2020-04-20,157,157,9992.648
3,2020-03-11,2020-06-11,158,158,5856.785999999999
2,2020-03-02,2020-05-02,159,159,8537.8245
1,2020-02-01,2020-03-01,160,160,10450.225499999999
1,2020-03-27,2020-04-27,161,161,13863.053249999999
